2023-04-29T09:22:17.433Z, info, , user registered
2023-04-29T10:26:09.399Z, info, , not uploaded
2023-04-29T10:27:33.143Z, info, , not uploaded
2023-04-29T11:25:29.597Z, info, , uploaded
2023-04-29T11:29:25.359Z, info, , uploaded
2023-04-29T11:30:15.066Z, info, , uploaded
2023-04-29T11:31:57.364Z, info, , uploaded
2023-04-29T11:34:39.989Z, info, , uploaded
2023-04-29T11:38:35.930Z, info, , uploaded
2023-04-29T12:22:02.301Z, info, , Item edited successfully
2023-04-29T12:24:10.773Z, info, , Item edited successfully
2023-04-29T12:36:40.689Z, error, , Data not found
2023-04-29T12:38:06.434Z, error, , Data not found
2023-04-29T12:39:11.186Z, error, , Data not found
2023-04-29T12:39:18.044Z, info, , Data fetched successfully
2023-04-29T12:39:23.592Z, info, , Data fetched successfully
2023-04-29T12:39:33.435Z, error, , Data not found
2023-04-29T12:40:12.365Z, error, , Data not found
2023-04-29T12:40:45.386Z, error, , Data not found userService.searchProducts is not a function
2023-04-29T12:41:07.508Z, error, , Data not found Op is not defined
2023-04-29T12:42:17.908Z, error, , Data not found
2023-04-29T12:45:21.300Z, error, , Data not found
2023-04-29T13:02:30.867Z, error, , Data not found
2023-04-29T13:02:57.816Z, error, , Data not found
2023-04-29T13:03:04.255Z, error, , Data not found
2023-04-29T13:03:12.173Z, error, , Data not found
2023-04-29T13:03:14.873Z, error, , Data not found
2023-04-29T13:03:37.724Z, error, , Data not found
2023-04-29T13:05:12.055Z, error, , Data not found
2023-04-29T13:10:32.293Z, error, , Data not found
2023-04-29T13:10:49.899Z, error, , Data not found
2023-04-29T13:12:52.624Z, error, , Data not found
2023-04-29T13:13:00.121Z, error, , Data not found
2023-04-29T13:13:03.996Z, info, , Data fetched successfully
2023-04-29T13:13:12.098Z, info, , Data fetched successfully
2023-04-29T13:14:40.601Z, error, , Data not found
2023-04-29T13:17:48.493Z, error, , Data not found
2023-04-29T13:19:14.279Z, error, , Data not found
2023-04-29T13:19:20.876Z, info, , Data fetched successfully
2023-04-29T13:19:37.637Z, info, , Data fetched successfully
2023-04-29T13:33:20.771Z, error, , Data not found
2023-04-29T14:18:53.660Z, error, , Data not found
2023-04-29T14:19:07.380Z, error, , Data not found
2023-04-29T14:19:22.638Z, error, , Data not found
2023-04-29T14:19:37.772Z, error, , Data not found
2023-04-29T14:19:41.496Z, error, , Data not found
2023-04-29T14:20:33.720Z, error, , Data not found
2023-04-29T14:20:42.963Z, error, , Data not found
2023-04-29T14:22:35.146Z, error, , No data found
2023-04-29T14:23:12.627Z, error, , No data found
2023-04-29T14:26:56.231Z, error, , No data found
2023-04-29T14:28:44.423Z, error, , No data found
2023-04-29T14:31:45.486Z, error, , No data found
2023-04-29T14:34:03.421Z, error, , No data found
2023-04-29T14:34:13.995Z, error, , No data found
2023-04-29T14:34:20.679Z, error, , No data found
2023-04-29T14:36:43.920Z, error, , No data found
2023-04-29T14:39:13.814Z, error, , No data found
2023-04-29T14:43:48.207Z, error, , No data found
2023-04-29T14:44:27.043Z, error, , No data found
2023-04-29T14:44:47.417Z, error, , No data found
2023-04-29T14:45:34.249Z, error, , No data found
2023-04-29T14:45:36.751Z, error, , No data found
2023-04-29T14:45:48.185Z, error, , No data found
2023-04-29T14:46:10.498Z, error, , No data found
2023-04-29T14:52:39.578Z, error, , No data found
2023-04-29T14:58:35.657Z, error, , Data not found
2023-04-29T14:58:42.846Z, error, , Data not found
2023-04-29T14:58:58.043Z, error, , Data not found
2023-04-29T15:00:20.452Z, info, , Data fetched successfully
2023-04-29T15:00:20.456Z, error, , Data not found user is not defined
2023-04-29T15:00:59.641Z, info, , Data fetched successfully
2023-04-29T15:14:28.351Z, info, , login successfully
2023-04-30T03:23:15.221Z, info, , user registered
2023-04-30T03:24:34.785Z, info, , user registered
2023-04-30T03:33:10.535Z, error, , No data found
2023-04-30T03:33:26.240Z, error, , No data found
2023-04-30T06:03:04.722Z, info, , login successfully
2023-04-30T06:03:27.987Z, info, , Item edited successfully
2023-04-30T10:16:36.137Z, info, POST /admin/login, login successfully
2023-04-30T10:46:21.976Z, info, POST /admin/register, user registered
2023-04-30T10:46:27.062Z, info, POST /admin/login, login successfully
2023-04-30T11:24:58.364Z, info, PUT /admin/editOrder/1, Data fetched successfully
2023-04-30T11:35:04.547Z, info, PUT /admin/editOrder/1, Data fetched successfully
2023-04-30T11:39:39.264Z, info, DELETE /admin/deleteOrder/2, order deleted successfully
2023-04-30T11:51:58.995Z, info, POST /admin/login, login successfully
2023-04-30T11:52:25.197Z, info, POST /admin/order, Data fetched successfully
2023-04-30T12:05:41.522Z, error, DELETE /admin/deleteOrder/2, order not found
2023-04-30T12:05:50.329Z, info, DELETE /admin/deleteOrder/1, order deleted successfully
2023-04-30T12:06:43.165Z, info, POST /admin/order, Data fetched successfully
2023-04-30T12:06:48.607Z, info, POST /admin/order, Data fetched successfully
2023-04-30T12:09:19.901Z, info, DELETE /admin/deleteOrder/5, order deleted successfully
2023-04-30T12:29:11.851Z, info, POST /admin/login, login successfully
2023-04-30T12:29:23.523Z, error, GET /admin/showOrder, unable to fetch
2023-04-30T12:30:42.273Z, error, GET /admin/showOrder, unable to fetch
2023-04-30T12:31:25.009Z, error, GET /admin/showOrder, unable to fetch
2023-04-30T12:31:37.157Z, error, GET /admin/showOrder, unable to fetch
2023-05-01T03:27:30.720Z, info, POST /admin/login, login successfully
2023-05-01T03:27:51.207Z, error, POST /admin/order, No data found
2023-05-01T03:29:20.680Z, error, POST /admin/order, No data found
2023-05-01T03:33:42.387Z, error, POST /admin/order, No data found
2023-05-01T03:35:17.962Z, error, POST /admin/order, Data not found Cannot read properties of undefined (reading 'status')
2023-05-01T03:36:16.753Z, error, POST /admin/order, No data found
2023-05-01T03:39:32.569Z, error, POST /admin/order, No data found
2023-05-01T03:40:17.155Z, info, POST /admin/order, Data fetched successfully
2023-05-01T03:40:56.937Z, info, POST /admin/order, Data fetched successfully
2023-05-01T05:22:34.307Z, info, POST /admin/login, login successfully
2023-05-01T05:23:03.649Z, error, POST /admin/order, No data found
2023-05-01T05:24:54.596Z, error, POST /admin/order, No data found
2023-05-01T05:25:44.886Z, error, POST /admin/order, No data found
2023-05-01T05:27:52.647Z, error, POST /admin/order, No data found
2023-05-01T05:28:01.580Z, info, POST /admin/order, Data fetched successfully
2023-05-01T05:28:05.543Z, error, POST /admin/order, No data found
2023-05-01T05:32:55.521Z, info, POST /admin/login, login successfully
2023-05-01T05:33:43.720Z, error, GET /admin/search, No data found
2023-05-01T05:33:59.723Z, error, GET /admin/search, No data found
2023-05-01T05:39:24.813Z, info, POST /admin/order, Data fetched successfully
2023-05-01T05:55:54.312Z, info, POST /admin/login, login successfully
2023-05-01T05:56:09.199Z, error, GET /admin/showOrder, unable to fetch
2023-05-01T05:57:33.465Z, error, GET /admin/showOrder, No data found
2023-05-01T05:57:40.345Z, error, GET /admin/showOrder, No data found
2023-05-01T05:59:23.734Z, error, GET /admin/showOrder, No data found
2023-05-01T06:01:33.226Z, error, GET /admin/showOrder, No data found
2023-05-01T06:02:31.411Z, error, GET /admin/showOrder, No data found
2023-05-01T06:02:44.023Z, error, GET /admin/showOrder, No data found
2023-05-01T06:02:50.663Z, error, GET /admin/showOrder, No data found
2023-05-01T06:02:56.056Z, error, GET /admin/showOrder, No data found
2023-05-01T06:02:59.551Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T06:16:11.244Z, error, GET /admin/showOrder, No data found
2023-05-01T06:16:49.307Z, error, GET /admin/showOrder, No data found
2023-05-01T06:17:31.503Z, error, GET /admin/showOrder, No data found
2023-05-01T06:17:54.342Z, error, GET /admin/showOrder, No data found
2023-05-01T06:18:24.416Z, error, GET /admin/search, No data found
2023-05-01T06:18:44.696Z, error, GET /admin/search, No data found
2023-05-01T06:18:50.051Z, info, POST /admin/login, login successfully
2023-05-01T06:19:05.370Z, error, GET /admin/search, No data found
2023-05-01T06:19:09.315Z, error, GET /admin/search, No data found
2023-05-01T06:19:46.739Z, info, GET /admin/search, Data fetched successfully
2023-05-01T06:19:55.524Z, info, GET /admin/search, Data fetched successfully
2023-05-01T06:32:07.076Z, error, GET /admin/showOrder, No data found
2023-05-01T06:32:22.052Z, error, GET /admin/showOrder, No data found
2023-05-01T13:33:27.810Z, info, POST /admin/login, login successfully
2023-05-01T13:35:26.311Z, info, POST /admin/login, login successfully
2023-05-01T13:35:43.854Z, error, GET /admin/showOrder, No data found
2023-05-01T13:41:28.390Z, error, GET /admin/showOrder, No data found
2023-05-01T13:43:13.261Z, error, GET /admin/showOrder, No data found
2023-05-01T13:43:18.487Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T13:43:39.169Z, error, GET /admin/showOrder, No data found
2023-05-01T13:47:01.827Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T13:50:56.312Z, error, GET /admin/showOrder, No data found
2023-05-01T13:51:03.037Z, error, GET /admin/showOrder, No data found
2023-05-01T13:52:13.902Z, error, GET /admin/showOrder, No data found
2023-05-01T13:53:29.196Z, error, GET /admin/showOrder, No data found
2023-05-01T13:53:37.965Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T13:58:04.807Z, error, GET /admin/showOrder, No data found
2023-05-01T13:58:57.127Z, error, GET /admin/showOrder, No data found
2023-05-01T13:58:59.348Z, error, GET /admin/showOrder, No data found
2023-05-01T14:00:45.372Z, error, GET /admin/showOrder, No data found
2023-05-01T14:00:53.655Z, error, GET /admin/showOrder, No data found
2023-05-01T14:01:01.937Z, error, GET /admin/showOrder, No data found
2023-05-01T14:01:33.586Z, error, GET /admin/showOrder, No data found
2023-05-01T14:02:43.230Z, error, GET /admin/showOrder, No data found
2023-05-01T14:03:00.306Z, error, GET /admin/showOrder, No data found
2023-05-01T14:04:00.764Z, error, GET /admin/showOrder, No data found
2023-05-01T14:04:13.396Z, error, GET /admin/showOrder, No data found
2023-05-01T14:07:53.010Z, error, GET /admin/showOrder, No data found
2023-05-01T14:09:44.109Z, error, GET /admin/showOrder, No data found
2023-05-01T14:09:51.567Z, error, GET /admin/showOrder, No data found
2023-05-01T14:16:18.237Z, info, POST /admin/login, login successfully
2023-05-01T14:23:36.542Z, info, POST /admin/login, login successfully
2023-05-01T14:45:36.859Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:45:56.286Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:46:07.262Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:46:37.885Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:50:12.316Z, info, POST /admin/login, login successfully
2023-05-01T14:50:39.775Z, info, POST /admin/order, Data fetched successfully
2023-05-01T14:50:51.749Z, info, POST /admin/login, login successfully
2023-05-01T14:51:05.705Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:51:11.757Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:52:35.835Z, info, GET /admin/showOrder, Data fetched successfully
2023-05-01T14:52:47.966Z, error, GET /admin/showOrder, No data found
2023-05-01T14:52:54.823Z, error, GET /admin/showOrder, No data found
